image_name,class_id,class,xmin,ymin,xmax,ymax
144503924.jpg,1,Adidas,38,12,234,142
2451569770.jpg,1,Adidas,242,208,413,331
390321909.jpg,1,Adidas,13,5,89,60
4761260517.jpg,1,Adidas,43,122,358,354
4763210295.jpg,1,Adidas,83,63,130,93
4763210295.jpg,1,Adidas,91,288,125,306
4763210295.jpg,1,Adidas,182,63,229,94
4763210295.jpg,1,Adidas,192,291,225,306
4763210295.jpg,1,Adidas,285,61,317,79
4763210295.jpg,1,Adidas,285,298,324,329
4763210295.jpg,1,Adidas,377,292,421,324
4763210295.jpg,1,Adidas,383,55,416,76
1230939811.jpg,1,Adidas,129,326,257,423
1230939811.jpg,1,Adidas,137,336,243,395
2550056374.jpg,1,Adidas,18,2,488,278
3294282629.jpg,1,Adidas,126,252,207,311
3294282629.jpg,1,Adidas,127,324,206,381
3294282629.jpg,1,Adidas,129,109,206,162
3294282629.jpg,1,Adidas,132,176,206,234
3294282629.jpg,1,Adidas,212,111,287,165
3294282629.jpg,1,Adidas,213,180,288,236
3294282629.jpg,1,Adidas,213,253,290,312
3294282629.jpg,1,Adidas,213,327,287,382
3294282629.jpg,1,Adidas,294,109,373,167
3294282629.jpg,1,Adidas,294,327,372,383
3294282629.jpg,1,Adidas,295,252,372,311
3294282629.jpg,1,Adidas,296,179,370,234
4061203382.jpg,1,Adidas,155,206,241,252
4499338915.jpg,1,Adidas,72,20,392,210
144503924.jpg,1,Adidas,38,12,234,142
2451569770.jpg,1,Adidas,242,208,413,331
390321909.jpg,1,Adidas,13,5,89,60
4761260517.jpg,1,Adidas,43,122,358,354
4763210295.jpg,1,Adidas,83,63,130,93
4763210295.jpg,1,Adidas,91,288,125,306
4763210295.jpg,1,Adidas,182,63,229,94
4763210295.jpg,1,Adidas,192,291,225,306
4763210295.jpg,1,Adidas,285,61,317,79
4763210295.jpg,1,Adidas,285,298,324,329
4763210295.jpg,1,Adidas,377,292,421,324
4763210295.jpg,1,Adidas,383,55,416,76
2534155497.jpg,1,Adidas,59,1,479,253
3007885565.jpg,1,Adidas,221,20,476,262
4336482746.jpg,1,Adidas,16,194,246,351
451265524.jpg,1,Adidas,195,179,244,215
791925651.jpg,1,Adidas,1,3,96,74
1230939811.jpg,1,Adidas,129,326,257,423
1230939811.jpg,1,Adidas,137,336,243,395
2550056374.jpg,1,Adidas,18,2,488,278
3294282629.jpg,1,Adidas,126,252,207,311
